Filename,Predictions
ISIC_0028858.jpg,bcc
ISIC_0029888.jpg,nv
ISIC_0032481.jpg,bkl
SPECB_ISIC_0032154.jpg,akiec
ROT_ISIC_0024546.jpg,mel
ISIC_0024592.jpg,bkl
ROT_ISIC_0026090.jpg,bcc
ISIC_0031637.jpg,nv
ISIC_0033743.jpg,nv
ISIC_0031929.jpg,akiec
ISIC_0028941.jpg,akiec
ROT_ISIC_0034011.jpg,bkl
ISIC_0026273.jpg,bkl
ROT_ISIC_0027053.jpg,bkl
ROT_ISIC_0030501.jpg,mel
ROT_ISIC_0034064.jpg,mel
ISIC_0027658.jpg,nv
ISIC_0029798.jpg,nv
ISIC_0025194.jpg,nv
ISIC_0027295.jpg,bkl
ROT_ISIC_0028386.jpg,bkl
ISIC_0031642.jpg,mel
SPECB_ISIC_0026349.jpg,vasc
SPECB_ISIC_0026652.jpg,mel
SPEC_ISIC_0027042.jpg,bkl
ISIC_0031890.jpg,bkl
ISIC_0032006.jpg,bkl
ROT_ISIC_0032185.jpg,bcc
SPECB_ISIC_0027790.jpg,vasc
ISIC_0026336.jpg,vasc
ISIC_0025163.jpg,nv
SPECB_ISIC_0024702.jpg,mel
ISIC_0032864.jpg,mel
SPECB_ISIC_0033952.jpg,bkl
ISIC_0031206.jpg,nv
ROT_ISIC_0031824.jpg,bcc
ISIC_0028534.jpg,nv
ISIC_0024783.jpg,nv
ISIC_0033171.jpg,nv
ISIC_0025002.jpg,nv
ISIC_0027539.jpg,nv
SPEC_ISIC_0032382.jpg,bkl
ISIC_0030040.jpg,nv
ISIC_0028591.jpg,mel
ISIC_0028293.jpg,bcc
ROT_ISIC_0029522.jpg,bkl
ISIC_0025881.jpg,nv
SPECB_ISIC_0028146.jpg,vasc
ISIC_0027743.jpg,nv
ISIC_0024565.jpg,nv
ISIC_0025000.jpg,nv
SPECB_ISIC_0027525.jpg,bcc
ISIC_0030455.jpg,nv
SPEC_ISIC_0034103.jpg,bcc
SPEC_ISIC_0030849.jpg,bkl
ROT_ISIC_0028155.jpg,bcc
SPECB_ISIC_0033725.jpg,mel
ROT_ISIC_0029281.jpg,mel
ISIC_0026055.jpg,nv
